"Actual","Predicted","nPredictions"
"0: e","0: e","14751"
"0: e","1: mu","170"
"0: e","2: pi pi0","393"
"0: e","3: pi","134"
"0: e","4: pi 2pi0","2"
"0: e","5: 3pi","0"
"0: e","6: 3pi pi0","0"
"0: e","7: qq background","2"
"0: e","8: Bhabha","112"
"1: mu","0: e","104"
"1: mu","1: mu","18522"
"1: mu","2: pi pi0","19"
"1: mu","3: pi","121"
"1: mu","4: pi 2pi0","0"
"1: mu","5: 3pi","3"
"1: mu","6: 3pi pi0","0"
"1: mu","7: qq background","0"
"1: mu","8: Bhabha","107"
"2: pi pi0","0: e","267"
"2: pi pi0","1: mu","35"
"2: pi pi0","2: pi pi0","21662"
"2: pi pi0","3: pi","512"
"2: pi pi0","4: pi 2pi0","936"
"2: pi pi0","5: 3pi","408"
"2: pi pi0","6: 3pi pi0","733"
"2: pi pi0","7: qq background","3"
"2: pi pi0","8: Bhabha","91"
"3: pi","0: e","277"
"3: pi","1: mu","365"
"3: pi","2: pi pi0","554"
"3: pi","3: pi","10409"
"3: pi","4: pi 2pi0","8"
"3: pi","5: 3pi","331"
"3: pi","6: 3pi pi0","63"
"3: pi","7: qq background","1"
"3: pi","8: Bhabha","30"
"4: pi 2pi0","0: e","45"
"4: pi 2pi0","1: mu","0"
"4: pi 2pi0","2: pi pi0","3565"
"4: pi 2pi0","3: pi","1"
"4: pi 2pi0","4: pi 2pi0","4746"
"4: pi 2pi0","5: 3pi","68"
"4: pi 2pi0","6: 3pi pi0","828"
"4: pi 2pi0","7: qq background","0"
"4: pi 2pi0","8: Bhabha","46"
"5: 3pi","0: e","0"
"5: 3pi","1: mu","0"
"5: 3pi","2: pi pi0","104"
"5: 3pi","3: pi","10"
"5: 3pi","4: pi 2pi0","5"
"5: 3pi","5: 3pi","7595"
"5: 3pi","6: 3pi pi0","1085"
"5: 3pi","7: qq background","1"
"5: 3pi","8: Bhabha","0"
"6: 3pi pi0","0: e","4"
"6: 3pi pi0","1: mu","0"
"6: 3pi pi0","2: pi pi0","230"
"6: 3pi pi0","3: pi","0"
"6: 3pi pi0","4: pi 2pi0","571"
"6: 3pi pi0","5: 3pi","929"
"6: 3pi pi0","6: 3pi pi0","4261"
"6: 3pi pi0","7: qq background","0"
"6: 3pi pi0","8: Bhabha","3"
"7: qq background","0: e","55"
"7: qq background","1: mu","47"
"7: qq background","2: pi pi0","5"
"7: qq background","3: pi","1"
"7: qq background","4: pi 2pi0","0"
"7: qq background","5: 3pi","0"
"7: qq background","6: 3pi pi0","0"
"7: qq background","7: qq background","20018"
"7: qq background","8: Bhabha","222"
"8: Bhabha","0: e","129"
"8: Bhabha","1: mu","46"
"8: Bhabha","2: pi pi0","25"
"8: Bhabha","3: pi","4"
"8: Bhabha","4: pi 2pi0","0"
"8: Bhabha","5: 3pi","0"
"8: Bhabha","6: 3pi pi0","0"
"8: Bhabha","7: qq background","5"
"8: Bhabha","8: Bhabha","11257"
