"Actual","Predicted","nPredictions"
"0: e","0: e","14743"
"0: e","1: mu","158"
"0: e","2: pi pi0","508"
"0: e","3: pi","153"
"0: e","4: pi 2pi0","2"
"0: e","5: 3pi","0"
"0: e","6: 3pi pi0","0"
"1: mu","0: e","51"
"1: mu","1: mu","18606"
"1: mu","2: pi pi0","24"
"1: mu","3: pi","195"
"1: mu","4: pi 2pi0","0"
"1: mu","5: 3pi","0"
"1: mu","6: 3pi pi0","0"
"2: pi pi0","0: e","145"
"2: pi pi0","1: mu","35"
"2: pi pi0","2: pi pi0","21753"
"2: pi pi0","3: pi","336"
"2: pi pi0","4: pi 2pi0","1189"
"2: pi pi0","5: 3pi","594"
"2: pi pi0","6: 3pi pi0","595"
"3: pi","0: e","224"
"3: pi","1: mu","296"
"3: pi","2: pi pi0","825"
"3: pi","3: pi","10378"
"3: pi","4: pi 2pi0","4"
"3: pi","5: 3pi","269"
"3: pi","6: 3pi pi0","42"
"4: pi 2pi0","0: e","22"
"4: pi 2pi0","1: mu","8"
"4: pi 2pi0","2: pi pi0","4077"
"4: pi 2pi0","3: pi","11"
"4: pi 2pi0","4: pi 2pi0","4312"
"4: pi 2pi0","5: 3pi","146"
"4: pi 2pi0","6: 3pi pi0","723"
"5: 3pi","0: e","0"
"5: 3pi","1: mu","1"
"5: 3pi","2: pi pi0","314"
"5: 3pi","3: pi","4"
"5: 3pi","4: pi 2pi0","4"
"5: 3pi","5: 3pi","7401"
"5: 3pi","6: 3pi pi0","1076"
"6: 3pi pi0","0: e","2"
"6: 3pi pi0","1: mu","1"
"6: 3pi pi0","2: pi pi0","525"
"6: 3pi pi0","3: pi","2"
"6: 3pi pi0","4: pi 2pi0","406"
"6: 3pi pi0","5: 3pi","1170"
"6: 3pi pi0","6: 3pi pi0","3892"
